电影名称,上映年份,上映时间,电影标签,播放时长,评分,语言,导演,作者,主演,宣传语,描述
Seven Samurai,1954,1954-04-26,"Action,Drama",207m,84,Japanese,Akira Kurosawa,Shinobu Hashimoto,"Toshirō Mifune,Takashi Shimura,Yoshio Inaba,Seiji Miyaguchi,Minoru Chiaki,Daisuke Katō,Isao Kimura,Keiko Tsushima,Yukiko Shimazaki,View More ",Unmatched for suspense and spectacle!,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food."
Grave of the Fireflies,1988,1988-04-16,"Animation,Drama,War",89m,84,Japanese,Isao Takahata,,"Tsutomu Tatsumi,Ayano Shiraishi,Yoshiko Shinohara,Akemi Yamaguchi,Masayo Sakai,Kozo Hashida,Kazumi Nozaki,Yoshio Matsuoka,Masahiro Kanetake,View More ",Why do fireflies have to die so soon?,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive."
David Attenborough: A Life on Our Planet,2020,2020-09-28,"Documentary,Drama",83m,84,English,Jonathan Hughes,Keith Scholey,"David Attenborough,Max Hughes",,"The story of life on our planet by the man who has seen more of the natural world than any other. In more than 90 years, Attenborough has visited every continent on the globe, exploring the wild places of our planet and documenting the living world in all its variety and wonder. Addressing the biggest challenges facing life on our planet, the film offers a powerful message of hope for future generations."
Life Is Beautiful,1997,1997-12-20,"Comedy,Drama",116m,84,Italian,Roberto Benigni,Vincenzo Cerami,"Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,Sergio Bini Bustric,Marisa Paredes,Horst Buchholz,Lidia Alfonsi,Giuliana Lojodice,View More ","An unforgettable fable that proves love, family and imagination conquer all.",A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.
Fight Club,1999,1999-11-04,"Drama,Thriller",139m,84,English,David Fincher,Chuck Palahniuk,"Edward Norton,Brad Pitt,Helena Bonham Carter,Meat Loaf,Jared Leto,Zach Grenier,Holt McCallany,Eion Bailey,Richmond Arquette,View More ",Mischief. Mayhem. Soap.,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion."
Harakiri,1962,1962-09-15,"Action,Drama,History",135m,84,Japanese,Masaki Kobayashi,Yasuhiko Takiguchi,"Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsuro Tamba,Masao Mishima,Ichirō Nakatani,Kei Satō,Yoshio Inaba,Hisashi Igawa,View More ","What befalls others today, may be your own fate tomorrow.","Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code."
Human,2015,2015-09-12,Documentary,191m,84,French,Yann Arthus-Bertrand,,,,"A collection of stories about and images of our world, offering an immersion to the core of what it means to be human. Through these stories full of love and happiness, as well as hatred and violence, it brings us face to face with the Other, making us reflect on our lives. From stories of everyday experiences to accounts of the most unbelievable lives, these poignant encounters share a rare sincerity and underline who we are – our darker side, but also what is most noble in us, and what is universal. Our Earth is shown at its most sublime through never-before-seen aerial images accompanied by soaring music, resulting in an ode to the beauty of the world, providing a moment to draw breath and for introspection. This film is a politically engaged work which allows us to embrace the human condition and to reflect on the meaning of our existence."
The Lord of the Rings: The Fellowship of the Ring,2001,2001-12-20,"Adventure,Fantasy,Action",179m,84,English,Peter Jackson,J. R. R. Tolkien,"Elijah Wood,Ian McKellen,Viggo Mortensen,Sean Astin,Ian Holm,Liv Tyler,Christopher Lee,Sean Bean,Billy Boyd,View More ",One ring to rule them all.,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed."
City of God,2002,2003-06-26,"Drama,Crime",129m,84,Portuguese,Fernando Meirelles,Paulo Lins,"Alexandre Rodrigues,Leandro Firmino,Phellipe Haagensen,Douglas Silva,Jonathan Haagensen,Matheus Nachtergaele,Seu Jorge,Jefechander Suplino,Alice Braga,View More ","If you run, the beast catches you; if you stay, the beast eats you.","In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime."
Cinema Paradiso,1988,1988-11-17,"Drama,Romance",124m,84,Italian,Giuseppe Tornatore,Vanna Paoli,"Philippe Noiret,Jacques Perrin,Marco Leonardi,Salvatore Cascio,Agnese Nano,Antonella Attili,Pupella Maggio,Enzo Cannavale,Isa Danieli,View More ",An enchanted village. A wonderful friendship. Star-crossed lovers. And the magic of the movies.,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist."
The Lord of the Rings: The Two Towers,2002,2002-12-18,"Adventure,Fantasy,Action",179m,84,English,Peter Jackson,J. R. R. Tolkien,"Elijah Wood,Ian McKellen,Viggo Mortensen,Sean Astin,Andy Serkis,John Rhys-Davies,Orlando Bloom,Bernard Hill,Miranda Otto,View More ",The journey continues.,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard."
